##gender of sample: M
##number of iterations: 1 , quality used at final iteration: 20
##was it outlier after clustering? FALSE
##fraction of outliers: 0.05
#chr	start	end	CN_change	loglikelihood	no_of_regions	length_KB	potential_AF	genes	qvalue
chr1	166080000	166360120	3	90	15	280.120	0.020	na	0.00000
chr1	135960000	136020120	3	30	4	 60.120	0.020	na	0.00001
chr1	197060000	197240120	3	75	10	180.120	0.020	na	0.00000
chr11	100180000	100220120	1	32	3	 40.120	0.040	na	0.00001
chr12	69540000	69700120	3	66	9	160.120	0.020	na	0.00002
chr12	120600000	120760120	1	59	9	160.120	0.040	na	0.00000
chr14	43860000	44040120	1	138	10	180.120	0.020	na	0.00000
chr15	8320000	8500120	1	106	10	180.120	0.020	na	0.00000
chr15	66340000	66740120	3	113	21	400.120	0.020	na	0.00000
chr20	33640000	33700120	3	35	4	 60.120	0.080	na	0.00000
chr4	184420000	184500120	1	62	5	 80.120	0.040	na	0.00000
chr5	160460000	160540120	1	72	5	 80.120	0.040	na	0.00000
chr5	113500000	113540120	1	33	3	 40.120	0.080	na	0.00015
chr6	23960000	24460120	0	2456	26	500.120	0.020	na	0.00000
chr6	112400000	112660120	3	102	14	260.120	0.020	na	0.00000
chr6	84480000	84580120	1	80	6	100.120	0.020	na	0.00000
chr7	25640000	26100120	1	171	24	460.120	0.020	na	0.00000
chr7	122420000	122620120	3	62	11	200.120	0.020	na	0.00000
chr7	146080000	146120120	1	30	3	 40.120	0.020	na	0.00000
chr9	37640000	37700120	4	22	4	 60.120	0.040	na	0.00002
chr9	23780000	23820120	1	26	3	 40.120	0.080	na	0.00021
