##gender of sample: M
##number of iterations: 1 , quality used at final iteration: 20
##was it outlier after clustering? FALSE
##fraction of outliers: 0.051
#chr	start	end	CN_change	loglikelihood	no_of_regions	length_KB	potential_AF	genes	qvalue
chr1	106960000	107220120	1	133	14	260.120	0.020	na	0.00000
chr1	225840000	225960120	3	26	7	120.120	0.020	na	0.00056
chr10	122360000	122560120	1	65	11	200.120	0.020	na	0.00000
chr11	62200000	62800120	3	130	31	600.120	0.020	na	0.00000
chr13	6920000	7000120	1	22	5	 80.120	0.060	na	0.00016
chr13	28280000	28360120	3	20	5	 80.120	0.020	na	0.00754
chr15	63700000	63900120	3	36	11	200.120	0.020	na	0.00000
chr15	26860000	26900120	1	22	3	 40.120	0.060	na	0.00056
chr15	97400000	97440120	1	29	3	 40.120	0.020	na	0.00003
chr17	13060000	13320120	1	77	14	260.120	0.020	na	0.00000
chr17	41260000	41560120	3	40	16	300.120	0.020	na	0.00000
chr18	65460000	65540120	3	27	5	 80.120	0.080	na	0.00003
chr2	64740000	65220120	3	87	25	480.120	0.020	na	0.00000
chr2	54700000	54780120	3	21	5	 80.120	0.040	na	0.00011
chr20	19880000	19920120	1	49	3	 40.120	0.020	na	0.00000
chr20	29660000	29800120	3	49	8	140.120	0.020	na	0.00000
chr3	34380000	35040120	3	146	34	660.120	0.020	na	0.00000
chr4	165300000	165580120	1	105	15	280.120	0.020	na	0.00000
chr4	180180000	180220120	1	41	3	 40.120	0.020	na	0.00000
chr6	71780000	72040120	1	91	14	260.120	0.020	na	0.00000
chr6	68840000	68880120	1	21	3	 40.120	0.020	na	0.00087
chr7	68720000	69040120	1	115	17	320.120	0.020	na	0.00000
chr9	110640000	110940120	3	52	16	300.120	0.020	na	0.00000
chr9	116680000	116780120	1	41	6	100.120	0.020	na	0.00000
chrX	133200000	133300120	2	20	6	100.120	0.020	na	0.00000
