##gender of sample: M
##number of iterations: 1 , quality used at final iteration: 20
##was it outlier after clustering? FALSE
##fraction of outliers: 0.051
#chr	start	end	CN_change	loglikelihood	no_of_regions	length_KB	potential_AF	genes	qvalue
chr1	245860000	246040120	1	87	10	180.120	0.020	na	0.00000
chr1	203880000	204240120	3	40	19	360.120	0.020	na	0.00000
chr10	86200000	86280120	1	61	5	 80.120	0.020	na	0.00000
chr12	52220000	52260120	3	20	3	 40.120	0.120	na	0.00346
chr14	55640000	56400120	1	267	39	760.120	0.020	na	0.00000
chr14	34760000	34840120	1	51	5	 80.120	0.020	na	0.00000
chr17	11860000	11980120	1	69	7	120.120	0.020	na	0.00003
chr17	9160000	9260120	1	59	6	100.120	0.020	na	0.00000
chr17	20800000	20920120	1	58	7	120.120	0.020	na	0.00000
chr18	60300000	60640120	3	135	18	340.120	0.020	na	0.00000
chr19	15240000	15600120	1	223	19	360.120	0.020	na	0.00000
chr3	61880000	62000120	3	39	7	120.120	0.020	na	0.00004
chr3	129940000	130340120	1	208	21	400.120	0.020	na	0.00000
chr3	108960000	109060120	3	50	6	100.120	0.020	na	0.00000
chr4	140980000	141300120	3	78	17	320.120	0.020	na	0.00000
chr4	156480000	156540120	4	24	4	 60.120	0.060	na	0.00001
chr5	165520000	165560120	4	31	3	 40.120	0.080	na	0.00030
chr6	108360000	108440120	1	22	5	 80.120	0.020	na	0.00483
chr9	38440000	38980120	3	200	28	540.120	0.020	na	0.00000
chr9	33340000	33400120	3	45	4	 60.120	0.060	na	0.00000
chr9	82820000	83020120	3	59	11	200.120	0.020	na	0.00000
