##gender of sample: M
##number of iterations: 1 , quality used at final iteration: 20
##was it outlier after clustering? FALSE
##fraction of outliers: 0.05
#chr	start	end	CN_change	loglikelihood	no_of_regions	length_KB	potential_AF	genes	qvalue
chr1	20500000	20820120	3	80	17	320.120	0.020	na	0.00000
chr1	204860000	204980120	0	670	7	120.120	0.040	na	0.00000
chr10	33160000	33320120	1	93	9	160.120	0.020	na	0.00000
chr12	10500000	10780120	1	164	15	280.120	0.020	na	0.00000
chr12	81960000	82200120	3	51	13	240.120	0.020	na	0.00002
chr12	94140000	94260120	3	47	7	120.120	0.040	na	0.00002
chr13	53560000	53840120	3	122	15	280.120	0.020	na	0.00000
chr13	39520000	39640120	1	68	7	120.120	0.020	na	0.00000
chr14	14600000	14720120	1	77	7	120.120	0.020	na	0.00000
chr15	87960000	88160120	3	63	11	200.120	0.020	na	0.00000
chr17	13820000	14080120	3	81	14	260.120	0.020	na	0.00000
chr18	4140000	4180120	3	27	3	 40.120	0.060	na	0.00021
chr19	10700000	10820120	1	74	7	120.120	0.020	na	0.00000
chr2	18180000	18680120	1	207	26	500.120	0.020	na	0.00000
chr2	62780000	63120120	1	108	18	340.120	0.020	na	0.00000
chr2	68360000	68500120	3	62	8	140.120	0.020	na	0.00000
chr2	182200000	182320120	3	36	7	120.120	0.020	na	0.00080
chr20	42520000	43460120	3	246	48	940.120	0.020	na	0.00000
chr20	62340000	62640120	1	171	16	300.120	0.020	na	0.00000
chr20	61360000	61680120	1	137	17	320.120	0.020	na	0.00000
chr21	35300000	35400120	3	41	6	100.120	0.020	na	0.00000
chr22	24560000	24680120	1	56	7	120.120	0.020	na	0.00000
chr4	47660000	47740120	3	40	5	 80.120	0.020	na	0.00000
chr5	127920000	128220120	1	135	16	300.120	0.020	na	0.00000
chr5	82420000	82480120	1	46	4	 60.120	0.020	na	0.00000
chr6	161400000	161480120	1	76	5	 80.120	0.040	na	0.00000
chr7	130100000	130200120	3	46	6	100.120	0.020	na	0.00001
chr9	22620000	22760120	3	32	8	140.120	0.040	na	0.00003
chr9	95240000	95400120	3	69	9	160.120	0.020	na	0.00000
